trial,stack,class,duration,H_amp,V_amp,H_vel,V_vel,EyeRT,ArmRT,arm_duration,ArmRT2,button1,button2,delay,sac ang,targR,targL
10124,66,7,64,-1.71,15.24,-53.56,397.72,245,332,143,337,4,1,0,96.4020795804643,90,-90
10196,66,7,62,-1.15,11.79,-37.85,310.47,227,348,163,380,4,1,100,95.5710236860617,90,-90
10221,66,7,64,0.53,16.71,8.26,448.13,241,332,145,336,4,1,200,88.1833281702002,90,-90
20246,66,7,64,2.38,13.39,51.21,354.22,227,368,129,828,4,2048,500,79.9212455356641,90,-90
20286,66,7,64,1.37,16.44,32.78,425.26,231,313,148,331,4,1,500,85.2363583092738,90,-90
20333,66,7,68,1.1,19.47,23.85,489.83,233,316,143,318,4,1,200,86.7663878751121,90,-90
30394,66,7,64,-1.96,14.05,-59.15,361.26,209,320,144,337,4,1,0,97.9416112861796,90,-90
30401,66,7,64,-3.53,-19.29,-104.79,-510.63,461,681,113,688,4,1,0,-100.37017800204,90,-90
30474,66,7,68,-1.85,20.86,-52.06,528.26,217,322,135,336,4,1,400,95.0681014674967,90,-90
1,66,8,70,15.97,16.75,395.54,429.59,293,347,136,357,4,1,400,46.3655942936717,45,-135
67,66,8,82,18.16,20.03,463.42,445.83,329,325,128,331,1,4,400,47.8032888316424,45,-135
95,66,8,110,15.03,17.18,373.81,332.83,261,300,132,369,1,4,200,48.8187973382577,45,-135
10156,66,8,76,16.47,17.25,424.81,402.54,269,339,126,350,4,1,100,46.325110902397,45,-135
10182,66,8,84,15.57,17.06,399.42,367.22,287,291,119,301,1,4,500,47.6145096089117,45,-135
10216,66,8,96,15.19,14.74,377.61,307.32,277,374,112,376,1,4,200,44.1386181671894,45,-135
20244,66,8,84,17.18,16.39,436.13,353.46,237,278,131,301,1,4,200,43.6519120361676,45,-135
20282,66,8,74,15.3,16.51,363.97,441.47,303,257,101,281,1,4,400,47.1783868277371,45,-135
20325,66,8,72,15.35,18.42,376.85,474.04,255,295,108,315,1,4,0,50.1944289077348,45,-135
30379,66,8,70,17.51,13.55,437.31,324.51,251,283,115,289,4,1,500,37.7342638290742,45,-135
30416,66,8,74,16.45,13.9,406.56,327.5,269,295,115,304,1,4,0,40.1973018875706,45,-135
30454,66,8,68,15.69,19.3,396.97,485.97,343,264,102,278,1,4,500,50.8904978254882,45,-135
trial,stack,class,duration,H_amp,V_amp,H_vel,V_vel,EyeRT,ArmRT,arm_duration,ArmRT2,button1,button2,delay,sac ang,targR,targL
7,66,1,66,17.81,-2.48,457.28,-76.77,205,297,154,313,4,1,200,-7.92732615963266,-0,-180
54,66,1,80,15.23,2.27,406.7,41.07,237,307,126,327,1,4,300,8.47740903419398,-0,-180
89,66,1,64,17.66,-1.77,459.65,-48.76,265,289,131,330,1,4,300,-5.72344188528293,-0,-180
10131,66,1,66,13.41,-5.32,340.18,-150.04,255,284,113,307,1,4,0,-21.6391616063148,-0,-180
10195,66,1,64,15.75,-1.98,409.31,-70.28,257,323,111,341,1,4,300,-7.16530873291592,-0,-180
