1,71,29,7
1,88,13,8
1,89,11,9
1,93,7,15
1,100,0,9
1,100,0,9
1,100,0,10
1,100,0,11
1,100,0,14
1,100,0,15
1,100,0,15
1,100,0,18
1,100,0,20
1,100,0,20
1,100,0,25
1,100,0,46
2,0,100,5
2,0,100,7
2,0,100,11
2,0,100,16
2,0,100,20
2,6,94,16
2,11,89,9
2,13,88,24
2,28,72,18
2,40,60,10
2,63,37,41
2,89,11,9
2,93,7,14
2,93,7,27
2,100,0,9
2,100,0,15
3,2,98,47
3,45,55,22
3,82,18,11
3,86,14,7
3,86,14,22
3,88,13,8
3,91,9,11
3,92,8,13
3,95,5,21
3,100,0,8
3,100,0,9
3,100,0,9
3,100,0,15
3,100,0,16
3,100,0,16
3,100,0,20
4,80,20,5
4,86,14,7
4,89,11,9
4,89,11,9
4,93,7,15
4,96,4,25
4,100,0,9
4,100,0,9
4,100,0,10
4,100,0,11
4,100,0,14
4,100,0,16
4,100,0,20
4,100,0,22
4,100,0,22
4,100,0,47
5,0,100,7
5,0,100,9
5,0,100,9
5,0,100,11
5,0,100,11
5,0,100,15
5,0,100,15
5,0,100,16
5,0,100,23
5,5,95,19
5,5,95,19
5,13,88,8
5,40,60,5
5,77,23,44
5,100,0,5
5,100,0,19
6,0,100,7
6,0,100,9
6,0,100,9
6,0,100,10
6,0,100,16
6,10,90,21
6,13,88,16
6,30,70,10
6,30,70,23
6,35,65,20
6,67,33,15
6,76,24,46
6,89,11,9
6,100,0,9
6,100,0,15
6,100,0,27
7,57,43,7
7,60,40,10
7,67,33,12
7,74,26,19
7,78,22,9
7,78,22,9
7,82,18,11
7,85,15,13
7,89,11,9
7,90,10,21
7,94,6,16
7,94,6,16
7,96,4,23
7,98,2,44
7,100,0,6
7,100,0,20
8,89,11,9
8,91,9,11
8,91,9,11
8,93,7,14
8,93,7,15
8,95,5,20
8,95,5,43
8,100,0,6
8,100,0,9
8,100,0,9
8,100,0,9
8,100,0,14
8,100,0,16
8,100,0,20
8,100,0,23
8,100,0,26
